Price,District,City,Town,Type,EnergyCertificate,Floor,Lift,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
130000,Porto,Maia,Castêlo da Maia,Land,NC,,FALSE,3,TRUE,,689,300,,,,,3,,,,300,,,3
265000,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,NC,2nd Floor,TRUE,0,FALSE,,63,18,,,,,1,,,,40,,,1
400000,Lisboa,Amadora,Venteira,Apartment,D,,,0,,1985,103,,,FALSE,TRUE,FALSE,4,3,0,Good condition,94,202,,2
195000,Lisboa,Cascais,São Domingos de Rana,Land,NC,,FALSE,0,FALSE,,436,436,,,,,,,,,,,,0
484000,Viana do Castelo,Viana do Castelo,Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,Apartment,A,1st Floor,TRUE,2,TRUE,2023,184,,,,,,3,,,,169,,,3
40000,Portalegre,Nisa,Arez e Amieira do Tejo,House,NC,,FALSE,0,FALSE,1950,79,167,,,,,3,,,,150,,,1
265500,Aveiro,Santa Maria da Feira,Caldas de São Jorge e Pigeiros,House,D,,FALSE,3,TRUE,2005,204,353,,,,,4,,,,202,,,3
6000,Coimbra,Arganil,São Martinho da Cortiça,House,NC,,FALSE,0,FALSE,1937,30,50,,,,,0,,,,50,,,0
395000,Vila Real,Mondim de Basto,Mondim de Basto,Building,NC,,,1,,1950,601,,,FALSE,FALSE,FALSE,20,8,0,Needs renovation,580,,750,3
75000,Santarém,Tomar,Casais e Alviobeira,Transfer of lease,NC,,,0,,,80,,,FALSE,FALSE,FALSE,,,0,,,,,0
3200000,Lisboa,Sintra,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",Land,NC,,,0,,,344,,,FALSE,FALSE,FALSE,,,0,,344,18000,395,0
105000,Coimbra,Figueira da Foz,Buarcos e São Julião,House,E,Ground Floor,FALSE,0,FALSE,1949,133,,,,,,4,,,,110,,,2
120000,Lisboa,Amadora,Encosta do Sol,Land,NC,,,0,,,500,,,FALSE,FALSE,FALSE,,,0,,,500,,0
24900,Leiria,Ansião,Chão de Couce,House,NC,,,1,,1937,94,,,FALSE,FALSE,TRUE,,2,0,,94,895,,0
110000,Faro,Loulé,Alte,Land,NC,,FALSE,0,FALSE,1981,21740,,,,,,0,,,,21740,,,0
156000,Coimbra,Lousã,Lousã e Vilarinho,Apartment,C,,,0,,2004,111,,,TRUE,FALSE,TRUE,,3,0,Like new,111,142,142.05,2
18000,Faro,Albufeira,Albufeira e Olhos de Água,Storage,NC,,FALSE,0,FALSE,,39,,,,,,,,,,,,,0
62900,Leiria,Óbidos,A dos Negros,Land,NC,,,0,,2006,225,,,FALSE,FALSE,FALSE,4,3,0,,225,481,255,0
165000,Leiria,Caldas da Rainha,Caldas da Rainha - Santo Onofre e Serra do Bouro,Apartment,F,,,0,,1996,104,,23:29.7,FALSE,FALSE,FALSE,4,3,1,Used,104,,127,2
22000,Santarém,Tomar,Serra e Junceira,Land,NC,,FALSE,0,FALSE,,2640,,,,,,,,,,,,,0
220500,Lisboa,Oeiras,Barcarena,Store,B,,,1,,,74,,,FALSE,TRUE,TRUE,,,1,New,67,,79.62,1
2300000,Porto,Matosinhos,Matosinhos e Leça da Palmeira,Apartment,B,,,1,,2023,361,,,FALSE,TRUE,TRUE,,4,1,,264,12354,361.1,4
237000,Coimbra,Figueira da Foz,Tavarede,House,E,,,0,,1987,358,,21:53.0,TRUE,FALSE,FALSE,5,4,0,,179,359,358,3
731520,Aveiro,Santa Maria da Feira,"Santa Maria da Feira, Travanca, Sanfins e Espargo",Land,NC,,FALSE,0,FALSE,,4720,8652,,,,,,,,,3778,,,0
99990,Leiria,Porto de Mós,Juncal,House,D,,,0,,1950,565,,,FALSE,FALSE,FALSE,6,4,0,,235,4640,565,2
269640,Braga,Vila Verde,Vila Verde e Barbudo,Apartment,NC,3rd Floor,TRUE,1,TRUE,2023,193,,,,,,3,,,,128,,,2
260000,Porto,Porto,Bonfim,Apartment,NC,3rd Floor,FALSE,0,FALSE,,51,,,,,,1,,,,51,,,1
250000,Viana do Castelo,Monção,Mazedo e Cortes,Transfer of lease,C,,FALSE,0,FALSE,,233,,,,,,,,,,,,,2
145000,Viana do Castelo,Arcos de Valdevez,Couto,House,E,,,1,,1937,285,,,FALSE,FALSE,FALSE,,3,0,Used,285,1102,570,1
69000,Lisboa,Sintra,Casal de Cambra,Land,NC,,FALSE,2,TRUE,1992,324,200,,,,,,,,,200,,,3
